numeros,articles,titre,persee_id,auteurlabel,personne_idLabel,year_of_birth,year_of_death,sex_or_genderLabel
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3175#Web,Face au vent : manifeste des Annales nouvelles,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3177#Web,Monnaies et civilisations : de l'or du Soudan à l'argent d'Amérique,48458,Fernand Braudel,Fernand Braudel,1902,1985,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3178#Web,Propos sur les Allemagnes,255403,Henri Brunschwig,Henri Brunschwig,1904,1989,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3180#Web,"Un ""collaborateur"" au temps de la guerre de Cent ans : Jehan Marcel, changeur à Rouen",256356,Michel Mollat du Jourdin,Michel Mollat du Jourdin,1911,1996,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3181#Web,"Un réactif social : le parrainage. Du XVIe siècle à la Révolution. Nobles, bourgeois et paysans dans un bourg perché du Jura",79980,Bernard Berthet,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3182#Web,La crise économique en France à la fin de l'Ancien Régime,62038,Georges Lefebvre,Georges Lefebvre,1874,1959,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3183#Web,Propagande américaine,79829,Marc-André Béra,Marc-André Béra,1914,1990,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3184#Web,Archives et démographie. Les leçons d'un dénombrement : 1846 en Anjou,257145,Abel Chatelain,Abel Chatelain,1910,1970,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3185#Web,"Le pari de la carte de pain : arithmétique, statistique ou psychologie ?",29696,Charles Morazé,Charles Morazé,1913,2003,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3186#Web,Un conflit de civilisations : la grandeur et le bonheur,82173,Claude Maldor,no value,????,????,no value
