persee_id,auteurlabel,personne_id,personne_idLabel,persee_author_id,occupationLabel,year_of_birth,year_of_death,sex_or_genderLabel,country_of_citizenshipLabel,educated_atLabel,academic_degreeLabel,idref
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,professeur d'université,1915,2012,masculin,États-Unis,London School of Economics,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,professeur d'université,1915,2012,masculin,États-Unis,collège français de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,professeur d'université,1915,2012,masculin,États-Unis,université Humboldt de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,professeur d'université,1915,2012,masculin,États-Unis,université de Trieste,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,professeur d'université,1915,2012,masculin,États-Unis,École des hautes études commerciales de Paris,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,économiste,1915,2012,masculin,États-Unis,London School of Economics,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,économiste,1915,2012,masculin,États-Unis,collège français de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,économiste,1915,2012,masculin,États-Unis,université Humboldt de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,économiste,1915,2012,masculin,États-Unis,université de Trieste,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,économiste,1915,2012,masculin,États-Unis,École des hautes études commerciales de Paris,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,écrivain,1915,2012,masculin,États-Unis,London School of Economics,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,écrivain,1915,2012,masculin,États-Unis,collège français de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,écrivain,1915,2012,masculin,États-Unis,université Humboldt de Berlin,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,écrivain,1915,2012,masculin,États-Unis,université de Trieste,docteur ès sciences,028269578
10415,Albert O. Hirschman,http://www.wikidata.org/entity/Q215949,Albert Hirschman,10415,écrivain,1915,2012,masculin,États-Unis,École des hautes études commerciales de Paris,docteur ès sciences,028269578
10634,Jacques Vernant,http://www.wikidata.org/entity/Q47009171,Jacques Vernant,10634,professeur d'université,1912,1985,masculin,France,no value,no value,078692059
10634,Jacques Vernant,http://www.wikidata.org/entity/Q47009171,Jacques Vernant,10634,sociologue,1912,1985,masculin,France,no value,no value,078692059
1184,Aimé Perpillou,http://www.wikidata.org/entity/Q2828082,Aimé Perpillou,1184,géographe,1902,1976,masculin,France,École normale supérieure,no value,027066053
11860,Élie Reynier,http://www.wikidata.org/entity/Q3587766,Élie Reynier,11860,historien,1875,1953,masculin,France,no value,no value,027097307
11930,Jürgen Schlumbohm,http://www.wikidata.org/entity/Q19721140,Jürgen Schlumbohm,11930,historien,1942,????,masculin,Allemagne,no value,no value,027126668
11930,Jürgen Schlumbohm,http://www.wikidata.org/entity/Q19721140,Jürgen Schlumbohm,11930,professeur d'université,1942,????,masculin,Allemagne,no value,no value,027126668
12043,Anne Simonin,http://www.wikidata.org/entity/Q24192332,Anne Simonin,12043,chercheur,1963,????,féminin,no value,no value,no value,029902509
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien,1915,2015,masculin,États-Unis,Scarsdale High School,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien,1915,2015,masculin,États-Unis,université Columbia,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien,1915,2015,masculin,États-Unis,université Harvard,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien de l'art,1915,2015,masculin,États-Unis,Scarsdale High School,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien de l'art,1915,2015,masculin,États-Unis,université Columbia,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,historien de l'art,1915,2015,masculin,États-Unis,université Harvard,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,journaliste d'opinion,1915,2015,masculin,États-Unis,Scarsdale High School,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,journaliste d'opinion,1915,2015,masculin,États-Unis,université Columbia,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,journaliste d'opinion,1915,2015,masculin,États-Unis,université Harvard,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,professeur d'université,1915,2015,masculin,États-Unis,Scarsdale High School,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,professeur d'université,1915,2015,masculin,États-Unis,université Columbia,no value,027128075
12156,Carl Schorske,http://www.wikidata.org/entity/Q683876,Carl Schorske,12156,professeur d'université,1915,2015,masculin,États-Unis,université Harvard,no value,027128075
13174,Xavier Lafon,http://www.wikidata.org/entity/Q93414111,Q93414111,13174,no value,1949,????,masculin,no value,no value,no value,no value
13282,François Lissarrague,http://www.wikidata.org/entity/Q55946100,François Lissarrague,13282,archéologue classique,1947,????,masculin,France,no value,no value,029304083
13282,François Lissarrague,http://www.wikidata.org/entity/Q55946100,François Lissarrague,13282,écrivain,1947,????,masculin,France,no value,no value,029304083
13284,Bruno D'Agostino,http://www.wikidata.org/entity/Q2926716,Bruno D'Agostino,13284,archéologue,1936,????,masculin,Italie,école archéologique italienne d'Athènes,no value,026808226
13284,Bruno D'Agostino,http://www.wikidata.org/entity/Q2926716,Bruno D'Agostino,13284,historien de l'Antiquité classique,1936,????,masculin,Italie,école archéologique italienne d'Athènes,no value,026808226
13739,Aleksandra Wąsowicz,http://www.wikidata.org/entity/Q4715569,Aleksandra Dunin-Wąsowicz,13739,anthropologue,1932,2015,féminin,Pologne,université de Varsovie,no value,027193209
13739,Aleksandra Wąsowicz,http://www.wikidata.org/entity/Q4715569,Aleksandra Dunin-Wąsowicz,13739,archéologue,1932,2015,féminin,Pologne,université de Varsovie,no value,027193209
140297,Patrick Gautier Dalché,http://www.wikidata.org/entity/Q56000688,Patrick Gautier Dalché,140297,écrivain,1949,????,masculin,no value,no value,no value,02940231X
140298,Patrick Geary,http://www.wikidata.org/entity/Q2057694,Patrick Geary,140298,médiéviste,1948,????,masculin,États-Unis,Spring Hill College,no value,028802780
140298,Patrick Geary,http://www.wikidata.org/entity/Q2057694,Patrick Geary,140298,médiéviste,1948,????,masculin,États-Unis,université Yale,no value,028802780
140298,Patrick Geary,http://www.wikidata.org/entity/Q2057694,Patrick Geary,140298,professeur d'université,1948,????,masculin,États-Unis,Spring Hill College,no value,028802780
140298,Patrick Geary,http://www.wikidata.org/entity/Q2057694,Patrick Geary,140298,professeur d'université,1948,????,masculin,États-Unis,université Yale,no value,028802780
140347,Sofia Boesch Gajano,http://www.wikidata.org/entity/Q19606768,Sofia Boesch Gajano,140347,historien,1934,????,féminin,Italie,no value,no value,030757886
140347,Sofia Boesch Gajano,http://www.wikidata.org/entity/Q19606768,Sofia Boesch Gajano,140347,professeur d'université,1934,????,féminin,Italie,no value,no value,030757886
140431,Robert Fossier,http://www.wikidata.org/entity/Q2356118,Robert Fossier,140431,historien,1927,2012,masculin,France,lycée Henri-IV,archiviste paléographe,026870088
140431,Robert Fossier,http://www.wikidata.org/entity/Q2356118,Robert Fossier,140431,historien,1927,2012,masculin,France,École des chartes,archiviste paléographe,026870088
140431,Robert Fossier,http://www.wikidata.org/entity/Q2356118,Robert Fossier,140431,professeur des universités,1927,2012,masculin,France,lycée Henri-IV,archiviste paléographe,026870088
140431,Robert Fossier,http://www.wikidata.org/entity/Q2356118,Robert Fossier,140431,professeur des universités,1927,2012,masculin,France,École des chartes,archiviste paléographe,026870088
14072,Philip T. Hoffman,http://www.wikidata.org/entity/Q104619197,Philip T. Hoffman,14072,no value,1947,????,masculin,no value,no value,no value,035186852
142205,Bernhard Blumenkranz,http://www.wikidata.org/entity/Q2899008,Bernhard Blumenkranz,142205,historien,1913,1989,masculin,France,Université de Bâle,no value,026733846
142266,Jean-François Bergier,http://www.wikidata.org/entity/Q124245,Jean-François Bergier,142266,historien,1931,2009,masculin,Suisse,Université de Lausanne,no value,026720817
142266,Jean-François Bergier,http://www.wikidata.org/entity/Q124245,Jean-François Bergier,142266,historien,1931,2009,masculin,Suisse,École des chartes,no value,026720817
142786,Silvano Serventi,http://www.wikidata.org/entity/Q55622612,Silvano Serventi,142786,écrivain,????,????,masculin,no value,no value,no value,059395990
145624,Jean Brelot,http://www.wikidata.org/entity/Q55772220,Jean Brelot,145624,écrivain,1909,1970,masculin,no value,no value,no value,02675116X
147270,Pierre Boyer,http://www.wikidata.org/entity/Q33695383,Pierre Boyer,147270,archiviste,1918,2008,masculin,France,École des chartes,archiviste paléographe,02913269X
147270,Pierre Boyer,http://www.wikidata.org/entity/Q33695383,Pierre Boyer,147270,historien,1918,2008,masculin,France,École des chartes,archiviste paléographe,02913269X
149,Algirdas Julien Greimas,http://www.wikidata.org/entity/Q313379,Algirdas Julien Greimas,149,linguiste,1917,1992,masculin,France,faculté des lettres de Paris,no value,026902354
149,Algirdas Julien Greimas,http://www.wikidata.org/entity/Q313379,Algirdas Julien Greimas,149,linguiste,1917,1992,masculin,France,université Vytautas-Magnus,no value,026902354
