auteur_persee_id,auteurlabel
3819,Jacques Bouveresse
4619,Roger Hervé
6718,André de Cailleux
7583,Raymond Furon
8202,Maurice Durand
8812,Ming Wong
8851,Robert Schrimpf
9520,Jacqueline Filliozat
10458,Andre Charrak
10460,Gianfranco Mormino
10464,Fabien Chareix
10465,Philippe Veron
10466,Gerard Simon
10467,Guy Boistel
10470,Paul Brouzeng
10471,Joella G. Yoder
10474,Myriam Scheidecker Chevallier
10484,Pierre Caye
10485,Jean Luc Gautero
10486,Francesco Furlan
10487,Frédéric Vengeon
10488,Annarita Angelini
10490,Thierry Gontier
10491,Jean-Pierre Belna
10492,Charles C. Gillispie
10493,Georges Barthelemy
10494,Michel Crozon
10498,Jean Eisenstaedt
10499,Bernard Joly
10500,Stéphane Schmitt
10502,Simone Mazauric
10503,Jacques-Paul Dubucs
10504,Massimo Galuzzi
10506,Muriel Guedj
10509,Laetitia Maison
10510,Amandine Pequignot
10511,Vincent Bontems
10517,Efthymios Nicolaidis
10519,Laurent Goulven
10523,Andre Chappert
10528,Bernadette Bensaude Vincent
10532,Jean François Braunstein
10539,Maurice Clavelin
10547,Emmanuela Scribano
10549,Laurence Devillairs
10551,Frederic De Buzon
10553,Lyndia Roveda
10554,Santiago Aragon
10555,Solange Gonzalez
10557,Marc Parmentier
10558,Jean-Claude Dupont
10562,Pascal Duris
10563,Réné Sigrist
10564,Michel Serfati
10565,Marco Panza
10568,Amor Cherni
10598,Amy Dahan Dalmedico
10599,Chris.C. Bissel
10600,Mary S. Morgan
10601,Hubert Kieken
10607,Danielle Milhaud Cappe
10611,Bernard Vitrac
10615,Christian Gilain
10618,Andreas Kleinert
11130,Denis Forest
11152,Marion Thomas
11193,Max Lejbowicz
11197,Sabine Rommevaux
11209,Vincent Borella
11210,Hourya Benis-Sinaceur
11217,Paolo Ponzio
11218,Amalia Perfetti
11219,Guido Giglioni
11221,Sylvain Matton
11232,Eugenio Canone
11237,Daniele Ghesquier
11240,Martha Cecilia Bustamante
11241,Jacques Levy
11242,Antonio Clericuzio
11246,Sarah Carvallo
11247,Rémi Franckowiak
11248,Pierre Savaton
11250,Gabriel Gohau
11253,Marjorie Grene
11254,Eberhard Knobloch
11259,Marco Beretta
11260,Walter Bernardi
11262,Marco Segala
11263,Marco Ciardi
11265,Olivier Darrigol
11272,Philippe Fragu
11275,Gilles Denis
11276,Tobias Cheung
24394,Michel Armatte
26044,René Prévost
28336,Jean Petitot
29377,René Tresse
29477,Pietro Redondi
29629,Dominique Pestre
29781,Donald MacKenzie
29861,Roland Lamontagne
29959,Alexandre Koyré
30069,Henri Goblot
30275,Maurice Daumas
30587,Arthur Birembaut
30679,Jean-Paul Aron
32583,Jacques Guillerme
34712,Germana Ernst
36482,Ghislaine L'Huillier
43416,Giovanna Tonelli
43614,Liliane Dufour
44493,Jean-Claude Martzloff
44536,Jean Dhombres
44599,Anne Marie Chouillet
47123,Roger Portal
47603,Claudine Cohen
48829,Jean-Marie Pernot
49778,Pierre Paul Grassé
49862,Paul Chauchard
51063,Annie Petit
51368,John L. Heilbron
52130,Michel Pinault
54437,Claire Salomon Bayet
54445,Michel Morange
54449,Michel Valentin
54451,Claude Debru
54464,Corinne Massignat
54468,Laurent Fedi
54474,Suzanne Debarbat
54475,Bernard Balan
54511,Charles Galperin
54513,Scott F. Gilbert
54516,Hervé Le Guyader
54517,Hans Jörg Rheinberger
54610,Donato Bergandi
54612,Xavier Sabatier
54616,Claude Sureson
54618,Maurizio Torrini
54622,Jean Paul Gaudilliere
54627,Pierre Cassou Nogues
54628,Serge Fauche
54630,Jean Michel Salanskis
54634,Nicolas Weill Parot
54637,Charles Chihara
54638,Johannes Hafner
54639,Paolo Mancosu
54641,Paul Rusnock
54642,Jan Sebestik
54817,Dominique Berlioz
54823,Carole Huta
54825,Lorelaï Kury
54827,Michel Pierre Lerner
54828,Vladimir N. Malov
54831,Michel Toulmonde
54839,Giorgio Israel
54843,Henk Bos
54846,Michele Gregoire
54848,Christiane Vilain
54966,Fernando Salmon
54967,Lazare Benaroyo
54974,André Guinier
54976,Lydie Touret
54979,Benedicte Bilodeau Guinamard
55163,Pierre Ickowicz
55164,Ronald Gowing
55167,Benoit Lelong
55168,Maurice Pasdeloup
55172,Claude Schnitter
55216,William R. Newmann
55226,Trevor Mc Claughlin
55228,Jacques Gapaillard
55229,Frédéric L. Holmes
55230,Seymour H. Mauskopf
55231,Patricia Aceves
55236,Carlos Lopez Beltran
55238,Anne Fagot Largeault
55239,Helge Kragh
55241,Kenneth L. Taylor
55242,Jean Théodoridès
55243,Louis Medard
55245,Jean Louis Gardies
56370,Éric BARATAY
57270,Pierre Costabel
57271,Naum Mikhälovitch Raskine
