id,numeros,persee_id,auteurlabel,titre,datepubimp,pubimp,datepubnum,pubnum,print,title,date,type,subject,is_aggregated_by,coverage,topic_label,year_of_birth,year_of_death,sex_or_genderLabel
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4599,1_1,76838,Henri Berr,Antécédents de la nouvelle Revue d'Histoire des Sciences,1947,Paris : Armand Colin,2012-01-13 13:12:05.589,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4599#Print,Antécédents de la nouvelle Revue d'Histoire des Sciences,1947,edito,no value,http://isidore.science/collection/10670/2.eqird7,pp. 5-8,no value,1863,1954,masculin
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4600,1_1,238563,Ch Serrus,La mécanique de J.-A. Borelli et la notion d'attraction,1947,Paris : Armand Colin,2012-01-13 13:12:03.942,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4600#Print,La mécanique de J.-A. Borelli et la notion d'attraction,1947,article,no value,http://isidore.science/collection/10670/2.eqird7,pp. 9-25,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4601,1_1,238564,Claude-Georges Collet,Un mathématicien humaniste Claude-Gaspar Bachet de Méziriac (1581-1638),1947,Paris : Armand Colin,2012-01-13 13:12:01.683,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4601#Print,Un mathématicien humaniste Claude-Gaspar Bachet de Méziriac (1581-1638),1947,article,no value,http://isidore.science/collection/10670/2.eqird7,pp. 26-50,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4601,1_1,57331,Jean Itard,Un mathématicien humaniste Claude-Gaspar Bachet de Méziriac (1581-1638),1947,Paris : Armand Colin,2012-01-13 13:12:01.683,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4601#Print,Un mathématicien humaniste Claude-Gaspar Bachet de Méziriac (1581-1638),1947,article,no value,http://isidore.science/collection/10670/2.eqird7,pp. 26-50,no value,1902,1979,masculin
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604,1_1,238567,Q. Vetter,II. Informations,1947,Paris : Armand Colin,2012-01-13 13:12:09.408,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604#Print,II. Informations,1947,autre,no value,http://isidore.science/collection/10670/2.eqird7,pp. 63-77,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604,1_1,263989,Pierre Brunet,II. Informations,1947,Paris : Armand Colin,2012-01-13 13:12:09.408,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604#Print,II. Informations,1947,autre,no value,http://isidore.science/collection/10670/2.eqird7,pp. 63-77,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604,1_1,76303,Suzanne Delorme,II. Informations,1947,Paris : Armand Colin,2012-01-13 13:12:09.408,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4604#Print,II. Informations,1947,autre,no value,http://isidore.science/collection/10670/2.eqird7,pp. 63-77,no value,1913,2005,féminin
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4606,1_1,263989,Pierre Brunet,"Aristote, Les météorologiques",1947,Paris : Armand Colin,2012-01-13 13:12:07.932,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4606#Print,"Aristote, Les météorologiques",1947,compterendu,no value,http://isidore.science/collection/10670/2.eqird7,pp. 78-79,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4607,1_1,263989,Pierre Brunet,"R. P. Festugière, La révélation d'Hermès Tristmégisle, I : L'astrologie et les sciences occultes",1947,Paris : Armand Colin,2012-01-13 13:11:56.048,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4607#Print,"R. P. Festugière, La révélation d'Hermès Tristmégisle, I : L'astrologie et les sciences occultes",1947,compterendu,no value,http://isidore.science/collection/10670/2.eqird7,pp. 79-81,no value,????,????,no value
https://www.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4608,1_1,263989,Pierre Brunet,"Albert Garreau, Frère Roger Bacon",1947,Paris : Armand Colin,2012-01-13 13:12:10.464,"PERSÉE : Université de Lyon, CNRS & ENS de Lyon",http://data.persee.fr/doc/rhs_0048-7996_1947_num_1_1_4608#Print,"Albert Garreau, Frère Roger Bacon",1947,compterendu,no value,http://isidore.science/collection/10670/2.eqird7,pp. 81-82,no value,????,????,no value
