personne_id,auteur_persee_id,idref,auteurlabel,occupationLabel,year_of_birth,year_of_death,sex_or_genderLabel,country_of_citizenshipLabel,educated_atLabel,academic_degreeLabel
http://www.wikidata.org/entity/Q102326192,57407,074654527,Bernard Pourprix,physicien,no value,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,historien,1918,2015,masculin,États-Unis,South Kent School,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,historien,1918,2015,masculin,États-Unis,université Harvard,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,historien,1918,2015,masculin,États-Unis,université Wesleyenne,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,professeur d'université,1918,2015,masculin,États-Unis,South Kent School,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,professeur d'université,1918,2015,masculin,États-Unis,université Harvard,no value
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,professeur d'université,1918,2015,masculin,États-Unis,université Wesleyenne,no value
http://www.wikidata.org/entity/Q11115392,54642,027129918,Jan Sebestik,philosophe,1931,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q11115392,54642,027129918,Jan Sebestik,philosophe,1931,????,masculin,Tchécoslovaquie,no value,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,cristallographe,1911,2000,masculin,France,doctorat ès sciences,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,cristallographe,1911,2000,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,physicien,1911,2000,masculin,France,doctorat ès sciences,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,physicien,1911,2000,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,professeur d'université,1911,2000,masculin,France,doctorat ès sciences,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,professeur d'université,1911,2000,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,scientifique,1911,2000,masculin,France,doctorat ès sciences,no value
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,scientifique,1911,2000,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q1163864,281718,031842062,Danielle Gourevitch,directeurs des études,1941,????,féminin,France,no value,no value
http://www.wikidata.org/entity/Q1163864,281718,031842062,Danielle Gourevitch,historien de la médecine,1941,????,féminin,France,no value,no value
http://www.wikidata.org/entity/Q1163864,281718,031842062,Danielle Gourevitch,philologue classique,1941,????,féminin,France,no value,no value
http://www.wikidata.org/entity/Q11730371,82476,030272394,Józef Hurwic,chimiste,1911,2016,masculin,France,École polytechnique de Varsovie,doctorat
http://www.wikidata.org/entity/Q11730371,82476,030272394,Józef Hurwic,historien des sciences,1911,2016,masculin,France,École polytechnique de Varsovie,doctorat
http://www.wikidata.org/entity/Q11730371,82476,030272394,Józef Hurwic,physico-chimiste,1911,2016,masculin,France,École polytechnique de Varsovie,doctorat
http://www.wikidata.org/entity/Q11736467,82472,028567048,Karolina Targosz,historien,1938,????,féminin,Pologne,université Jagellonne,no value
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien,1941,2014,masculin,Colombie,London School of Economics,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien,1941,2014,masculin,Colombie,Wadham College,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien,1941,2014,masculin,Colombie,université de Londres,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien des mathématiques,1941,2014,masculin,Colombie,London School of Economics,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien des mathématiques,1941,2014,masculin,Colombie,Wadham College,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,historien des mathématiques,1941,2014,masculin,Colombie,université de Londres,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,mathématicien,1941,2014,masculin,Colombie,London School of Economics,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,mathématicien,1941,2014,masculin,Colombie,Wadham College,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,mathématicien,1941,2014,masculin,Colombie,université de Londres,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,philosophe,1941,2014,masculin,Colombie,London School of Economics,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,philosophe,1941,2014,masculin,Colombie,Wadham College,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,philosophe,1941,2014,masculin,Colombie,université de Londres,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,professeur d'université,1941,2014,masculin,Colombie,London School of Economics,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,professeur d'université,1941,2014,masculin,Colombie,Wadham College,doctorat
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,professeur d'université,1941,2014,masculin,Colombie,université de Londres,doctorat
http://www.wikidata.org/entity/Q1273727,55239,029464609,Helge Kragh,chimiste,1944,????,masculin,Danemark,université de Copenhague,no value
http://www.wikidata.org/entity/Q1273727,55239,029464609,Helge Kragh,historien,1944,????,masculin,Danemark,université de Copenhague,no value
http://www.wikidata.org/entity/Q1273727,55239,029464609,Helge Kragh,naturaliste,1944,????,masculin,Danemark,université de Copenhague,no value
http://www.wikidata.org/entity/Q1273727,55239,029464609,Helge Kragh,physicien,1944,????,masculin,Danemark,université de Copenhague,no value
http://www.wikidata.org/entity/Q13101424,76605,096687479,A. Gloden,mathématicien,1901,1966,masculin,Luxembourg,no value,no value
http://www.wikidata.org/entity/Q1316061,76401,033008590,George Sarton,chimiste,1884,1956,masculin,États-Unis,université de Gand,no value
http://www.wikidata.org/entity/Q1316061,76401,033008590,George Sarton,historien,1884,1956,masculin,États-Unis,université de Gand,no value
http://www.wikidata.org/entity/Q1316061,76401,033008590,George Sarton,professeur d'université,1884,1956,masculin,États-Unis,université de Gand,no value
http://www.wikidata.org/entity/Q1338383,364389,027081001,Emmanuel Poulle,archiviste,1928,2011,masculin,France,École des chartes,no value
http://www.wikidata.org/entity/Q1338383,364389,027081001,Emmanuel Poulle,historien,1928,2011,masculin,France,École des chartes,no value
http://www.wikidata.org/entity/Q1338383,364389,027081001,Emmanuel Poulle,médiéviste,1928,2011,masculin,France,École des chartes,no value
http://www.wikidata.org/entity/Q1347853,249458,026889099,Jacques Gernet,professeur d'université,1921,2018,masculin,France,université d'Alger,no value
http://www.wikidata.org/entity/Q1347853,249458,026889099,Jacques Gernet,professeur d'université,1921,2018,masculin,France,École nationale des langues orientales vivantes,no value
http://www.wikidata.org/entity/Q1347853,249458,026889099,Jacques Gernet,sinologue,1921,2018,masculin,France,université d'Alger,no value
http://www.wikidata.org/entity/Q1347853,249458,026889099,Jacques Gernet,sinologue,1921,2018,masculin,France,École nationale des langues orientales vivantes,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,philosophe,1940,2021,masculin,France,lycée Lakanal,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,philosophe,1940,2021,masculin,France,université Panthéon-Sorbonne,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,philosophe,1940,2021,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur,1940,2021,masculin,France,lycée Lakanal,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur,1940,2021,masculin,France,université Panthéon-Sorbonne,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur,1940,2021,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur d'université,1940,2021,masculin,France,lycée Lakanal,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur d'université,1940,2021,masculin,France,université Panthéon-Sorbonne,no value
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,professeur d'université,1940,2021,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q1386199,80051,031191983,L. Lusternik,mathématicien,1899,1981,masculin,Empire russe,université d'État de Moscou,docteur en sciences physico-mathématiques
http://www.wikidata.org/entity/Q1386199,80051,031191983,L. Lusternik,mathématicien,1899,1981,masculin,Union des républiques socialistes soviétiques,université d'État de Moscou,docteur en sciences physico-mathématiques
http://www.wikidata.org/entity/Q1386199,80051,031191983,L. Lusternik,topologue,1899,1981,masculin,Empire russe,université d'État de Moscou,docteur en sciences physico-mathématiques
http://www.wikidata.org/entity/Q1386199,80051,031191983,L. Lusternik,topologue,1899,1981,masculin,Union des républiques socialistes soviétiques,université d'État de Moscou,docteur en sciences physico-mathématiques
http://www.wikidata.org/entity/Q1388382,58872,027155641,René Taton,historien des sciences,1915,2004,masculin,France,École normale supérieure de Saint-Cloud,professeur agrégé
http://www.wikidata.org/entity/Q1388382,58872,027155641,René Taton,mathématicien,1915,2004,masculin,France,École normale supérieure de Saint-Cloud,professeur agrégé
http://www.wikidata.org/entity/Q1489128,44493,027014371,Jean-Claude Martzloff,historien des mathématiques,1943,2018,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1489128,44493,027014371,Jean-Claude Martzloff,mathématicien,1943,2018,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1489128,44493,027014371,Jean-Claude Martzloff,sinologue,1943,2018,masculin,France,no value,no value
http://www.wikidata.org/entity/Q15446721,55229,032834543,Frédéric L. Holmes,historien,1932,2003,masculin,États-Unis,Massachusetts Institute of Technology,no value
http://www.wikidata.org/entity/Q15446721,55229,032834543,Frédéric L. Holmes,historien,1932,2003,masculin,États-Unis,université Harvard,no value
http://www.wikidata.org/entity/Q15446721,55229,032834543,Frédéric L. Holmes,historien des sciences,1932,2003,masculin,États-Unis,Massachusetts Institute of Technology,no value
