personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q102326192,57407,074654527,Bernard Pourprix,no value,????,masculin
http://www.wikidata.org/entity/Q1064544,10492,026891654,Charles C. Gillispie,1918,2015,masculin
http://www.wikidata.org/entity/Q11115392,54642,027129918,Jan Sebestik,1931,????,masculin
http://www.wikidata.org/entity/Q111447,54974,072234075,André Guinier,1911,2000,masculin
http://www.wikidata.org/entity/Q1163864,281718,031842062,Danielle Gourevitch,1941,????,féminin
http://www.wikidata.org/entity/Q11730371,82476,030272394,Józef Hurwic,1911,2016,masculin
http://www.wikidata.org/entity/Q11736467,82472,028567048,Karolina Targosz,1938,????,féminin
http://www.wikidata.org/entity/Q1252931,82488,030342465,I. Grattan-Guinness,1941,2014,masculin
http://www.wikidata.org/entity/Q1273727,55239,029464609,Helge Kragh,1944,????,masculin
http://www.wikidata.org/entity/Q13101424,76605,096687479,A. Gloden,1901,1966,masculin
http://www.wikidata.org/entity/Q1316061,76401,033008590,George Sarton,1884,1956,masculin
http://www.wikidata.org/entity/Q1338383,364389,027081001,Emmanuel Poulle,1928,2011,masculin
http://www.wikidata.org/entity/Q1347853,249458,026889099,Jacques Gernet,1921,2018,masculin
http://www.wikidata.org/entity/Q1384603,3819,026747804,Jacques Bouveresse,1940,2021,masculin
http://www.wikidata.org/entity/Q1386199,80051,031191983,L. Lusternik,1899,1981,masculin
http://www.wikidata.org/entity/Q1388382,58872,027155641,René Taton,1915,2004,masculin
http://www.wikidata.org/entity/Q1489128,44493,027014371,Jean-Claude Martzloff,1943,2018,masculin
http://www.wikidata.org/entity/Q15446721,55229,032834543,Frédéric L. Holmes,1932,2003,masculin
http://www.wikidata.org/entity/Q15454933,54627,056611277,Pierre Cassou Nogues,1971,????,masculin
http://www.wikidata.org/entity/Q1557718,78280,027072525,Jean-Paul Pier,1933,2016,masculin
http://www.wikidata.org/entity/Q157155,174588,027094170,Ernest Renan,no value,????,masculin
http://www.wikidata.org/entity/Q15970681,76750,074333577,François Grégoire,1914,1973,masculin
http://www.wikidata.org/entity/Q15970923,76393,027105199,Bernard Rochot,1900,1971,masculin
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,2000,????,féminin
http://www.wikidata.org/entity/Q16266792,57409,08201051X,Tony Levy,1943,????,masculin
http://www.wikidata.org/entity/Q16267493,201361,132440148,Jean Gayon,1949,2018,masculin
http://www.wikidata.org/entity/Q164425,76704,026911817,Jacques Hadamard,1865,1963,masculin
http://www.wikidata.org/entity/Q16638325,11250,026895765,Gabriel Gohau,1934,????,masculin
http://www.wikidata.org/entity/Q16661306,262525,026842556,Louis Dulieu,1917,2003,masculin
http://www.wikidata.org/entity/Q1678079,386810,027083810,Jacques Proust,1926,2005,masculin
http://www.wikidata.org/entity/Q1685587,57331,026931834,Jean Itard,1902,1979,masculin
http://www.wikidata.org/entity/Q1700413,51368,029114942,John L. Heilbron,1934,????,masculin
http://www.wikidata.org/entity/Q1729607,253735,031314341,Karine Chemla,1957,????,féminin
http://www.wikidata.org/entity/Q17304952,255994,028112245,Pierre Huard,1901,1983,masculin
http://www.wikidata.org/entity/Q17350633,32583,026909308,Jacques Guillerme,1927,1996,masculin
http://www.wikidata.org/entity/Q177709,247412,028822390,Hubert Curien,1924,2005,masculin
http://www.wikidata.org/entity/Q1804232,76314,032821972,Pierre Humbert,1891,1953,masculin
